isim,dogum_yeri,aktif_sehir,arama_sehri,tip,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Turhan Alıcı,,"Mersin, Mersin, Turkey",Mersin,solo,11cLY4APT7ava9sRdB9r7z,Turhan Alıcı,770.0,17.0,,,,
Grup Kibele,"Ankara, Ankara, Turkey",,Ankara,grup,6E3O3Dlmn7ljk8Y8ARclW2,Grup Kibele,769.0,3.0,karadeniz folk,,,
Batı Yakası,"Çanakkale, Turkey",,Çanakkale,grup,6gqDXFgwntlcCYUrWMdilj,Batı Yakası,767.0,1.0,,,,
Nihil Kaos,"İstanbul, İstanbul, Turkey",,İstanbul,grup,2H34L4uR3Vbi1TPPbmxjkg,Nihil Kaos,766.0,0.0,black metal,black metal,,turkish metal
Milha,"Ankara, Ankara, Turkey",,Ankara,solo,2ESvThRXvuUoaciGeYzowQ,Milha,766.0,2.0,,,,
asena özçetin,,,,,3tE1KQsNyl3jcofqeOGy43,Asena Özçetin,765.0,2.0,anatolian rock,anatolian rock,,
rahim sağlam,,,,,5FHDLO4PrI0WEvAlPY8DBI,Rahim Saglam,762.0,5.0,arabesk,arabesk,halk,
Rıza Pekkutsal,"İzmir, İzmir, Turkey",,İzmir,solo,0WcLVQZnmuXhwfJrnN2wni,Rıza Pekkutsal,762.0,18.0,,,,
On Your Horizon,"Eskişehir, Eskişehir, Turkey",,Eskişehir,grup,4IjBlsH4QZ1y37aXdASjRa,On Your Horizon,762.0,0.0,post-rock,post-rock,metal,
Makine,"İzmir, İzmir, Turkey",,İzmir,grup,1H2RKJS09EZq2RRraAE5sB,Makine,760.0,4.0,,,,
Mehmet Cemal Yeşilçay,"İstanbul, İstanbul, Turkey","München, Bayern, Germany",İstanbul,solo,68YS0OxrIMibVUTDt7L0dv,Mehmet Cemal Yesilcay,759.0,12.0,"medieval, baroque, sufi, early music",,,
rabia akatay,,,,,3z8BG00RaIrSscMGnOhWZf,Rabia Akatay,757.0,0.0,turkish pop,turkish pop,,deep turkish pop
Ebru Ceylan,"Ankara, Ankara, Turkey",,Ankara,solo,6X3XI5Ph4oSk2urK9UoX13,Ebru Ceylan,756.0,12.0,,,,
Zerrin Zeren,"Kırşehir, Kırşehir, Turkey",,Kırşehir,solo,3U4er7opRJ9El8xwE6AceF,Zerrin Zeren,755.0,10.0,anatolian rock,,,
veysel aydın,,,,,01KEmknJDnkb0jIB1Ftvt8,Veysel Aydın,754.0,1.0,space music,space music,halk,
ruşen güneş,,,,,4RarifRWZY2vmwr4HAKXEC,ruşen güneş,754.0,19.0,arabesk,arabesk,,
VJ Bülent,"Edirne, Edirne, Turkey","İstanbul, İstanbul, Turkey",İstanbul,solo,6zV68wU0sSviRjVxOivFT4,VJ Bülent,752.0,10.0,"arabesk, turkish pop",,,
rahman altın,,,,,2KmM4lRkz5Y04lNFuU7CiC,Rahman Altın,750.0,7.0,,,,
İstanbul Blues Kumpanyası,"İstanbul, İstanbul, Turkey",,İstanbul,grup,4fjbG5H1T3vTEoo50PB985,İstanbul Blues Kumpanyası,749.0,1.0,anatolian rock,anatolian rock,,turkish jazz
taner demiralp,,,,,58i28jKLUohJbLxh48VOdr,Taner Demiralp,749.0,16.0,,,,
Melâhat Pars,"İstanbul, İstanbul, Turkey",,İstanbul,solo,6hHhpdVPF5PMnynp5ipuxN,Melahat Pars,749.0,5.0,,,klasik,
maçkalı hasan tunç,,,,,77eyxj7JUNalh1qy3aVatF,Maçkalı Hasan Tunç,748.0,3.0,karadeniz folk,,,
deniz çakır,,,,,29YFAz8SI57xlybvxCk3sb,deniz çakır,748.0,19.0,turkish pop,turkish pop,,
meçhul sanıklar,,,,,190UTKab8eaiA6II2xbjJN,Meçhul Sanıklar,747.0,15.0,"turkish hip hop, arabesk",turkish hip hop,,
Özer Arkun,,"İstanbul, İstanbul, Turkey",İstanbul,solo,11AmqUBJKDiWrxxJUNqv1d,Ozer Arkun,747.0,6.0,oyun havasi,,,
Aşık Kul Nuri,"Kelkit, Gümüşhane, Turkey",,Gümüşhane,solo,2EPUTiixrc5QxX3HLtRh8T,Aşık Kul Nuri,745.0,2.0,,,,
Yakaza Ensemble,"Kadıköy, İstanbul, Turkey",,İstanbul,grup,6O2TGD4pgrIQNeOSYaSyVj,Yakaza Ensemble,745.0,0.0,"avant-garde, post-rock","avant-garde, post-rock",,
plein de vie.,,"Ankara, Ankara, Turkey",Ankara,grup,5gpvFpbqtlG3xMiIKDM6XA,plein de vie.,745.0,2.0,screamo,screamo,,
güç başar gülle,,,,,1XDwV0OQTHpBx1Su8vLtLB,Güç Başar Gülle,745.0,1.0,indie jazz,indie jazz,caz,
hande dönmez,,,,,5s8QdWK7HFiMaq9stIKOIo,Hande Dönmez,741.0,11.0,"arabesk, turkish pop, oyun havasi","arabesk, turkish pop, oyun havasi",,deep turkish pop
sille,,,,,54GuSML5bMKdIvfqh7TDoS,Sille,741.0,15.0,,,,
Nesrin Körükçü,"Balıkesir, Turkey",,Balıkesir,solo,0WkzcWCBjHq7PD5dhik7d5,Nesrin Körükçü,741.0,5.0,,,,
moorad,,,,,5pRx0QMB8qp8v59Ga9JbU4,MOORAD,741.0,7.0,"future house, big room","future house, big room",,
negatif,,,,,4np8rzKhbZXhBrjnXfU2Cl,Negatif,740.0,16.0,turkish hip hop,turkish hip hop,,
alaaddin şensoy,,,,,1gKBY6XhL0rdyeXLojOQgJ,Alaaddin Sensoy,738.0,5.0,arabesk,arabesk,,
berrak deniz,,,,,0G2eX45ZqintNB1NqSMzS5,Berrak Deniz,737.0,0.0,turkish pop,turkish pop,,deep turkish pop
trumpet thing,,,,,2hrpEtDDFgkSpYpKbv7ja1,Trumpet Thing,733.0,23.0,,,,
töre anadolu,,,,,78FWL1DjSbSzuHIpaov453,Töre Anadolu,732.0,5.0,,,,
mesut aytunca,,,,,2lj2FOCqf7ltBkZZzJsaac,mesut aytunca,731.0,5.0,anatolian rock,anatolian rock,rock,turkish psych
Remzi Bekar,"Rize, Rize, Turkey",,Rize,solo,0mdH7DU4w5qVad3wwHzryL,Remzi Bekar,730.0,2.0,karadeniz folk,,,
Cüneyd Orhon,"İstanbul, Turkey",,İstanbul,solo,0jbyXtZw8pCE1CIJa6Ys4S,Cüneyd Orhon,730.0,2.0,,,,
aşık emrah,,,,,6FfZ16JTZUq3GlHZnlUXog,Aşık Emrah,729.0,3.0,anatolian rock,anatolian rock,"halk, klasik",turkish psych
nursaç doğanışık,,,,,6DaaDV7Qnap3OTarzKyy2X,Nursaç Doğanışık,729.0,4.0,,,,
Horrocious,"Kadıköy, İstanbul, Turkey",,İstanbul,grup,2p88G67FbbMlJPGYtMbM6C,Horrocious,729.0,0.0,black metal,,,
özlem yüksek,,,,,2loVttjT6HvutInj2J7F1x,Özlem Yüksek,729.0,7.0,turkish pop,turkish pop,klasik,
Tocka,"İzmir, İzmir, Turkey",,İzmir,grup,1Jjf0dHA8Z1EYt4VzLx0mb,Tocka,728.0,2.0,,,,
seda yavuz,,,,,6zXhiGyIkGkDq7Vk0yaE61,Seda Yavuz,727.0,6.0,turkish pop,turkish pop,,deep turkish pop
hatespeech,"İstanbul, İstanbul, Turkey",,İstanbul,grup,3zDunBRJ1ggdUY6WpAnBmr,hatespeech,726.0,0.0,"sludge metal, stoner metal",,,
maria rita epik,,,,,3GbTQRBuz0I4Lu6Sj9UJ0W,maria rita epik,726.0,5.0,anatolian rock,anatolian rock,,
enver mete aslan,,,,,7vYTCeCqVq0PQ0vwEFk03v,Enver Mete Aslan,726.0,11.0,,,,
EXIX,"İstanbul, İstanbul, Turkey","Berlin, Berlin, Germany",İstanbul,solo,6NJ4pwvID4hautHXc90ehV,EXIX,725.0,2.0,"hard techno, techno",,,
Mauna Kea,,"İstanbul, İstanbul, Turkey",İstanbul,grup,2EEXilrrM0Txvpvq6Qonmp,Mauna Kea,725.0,0.0,post-rock,,,
Esin Aydıngöz,"İstanbul, İstanbul, Turkey","Los Angeles, CA, United States",İstanbul,solo,6ZQWiuIwptdIdRiqchBR1p,Esin Aydıngöz,724.0,6.0,,,,
faruk salgar,,,,,6cwr9YWZh6BCTemzMK5sCh,Faruk Salgar,723.0,9.0,arabesk,arabesk,klasik,
dark phase,,,,,7ITdhryvtYBWDCPwyRU1zK,Dark Phase,722.0,3.0,thrash metal,thrash metal,,turkish metal
Amras Numenesse,,"İzmir, İzmir, Turkey",İzmir,solo,5nlF7KsdmomvXeiBs1g0Y8,Amras Numenesse,722.0,7.0,"neoclassical, symphonic metal, black metal, grindcore, death metal",,,
gülşah tütüncü,,,,,6RaHCA6kgHEicB39aAUzPR,Gülşah Tütüncü,721.0,25.0,turkish pop,turkish pop,,
sezer koç,,,,,51j26Kkfq6uak8muK7aiFq,Sezer Koç,721.0,3.0,,,"indie, pop",turkish alt-pop
Ossian,"Izmir, Turkey",,İzmir,grup,2MrjpKdYC7RlH2j8LSUWDH,Ossian,720.0,15.0,,,,
Fatih Ahıskalı,"Antalya, Antalya, Turkey","İstanbul, İstanbul, Turkey",İstanbul,solo,7JVJiShPyjp98hKUgYHCi6,Fatih Ahıskalı,720.0,3.0,,,,
bilgehan ünver,,,,,1YBBOKL1Hfzx5MPMMMsjlN,Bilgehan Ünver,719.0,7.0,"indie dance, melodic techno, melodic house","indie dance, melodic techno, melodic house",,
epikton,,,,,7cGTz9yoZKlxmQkHKrJcVx,Epikton,718.0,4.0,,,,
edip akbayram ve dostlar,,,,,3FZZvAtXxVxyzjNKptWQxu,Edip Akbayram ve Dostlar,718.0,6.0,"anatolian rock, psychedelic rock","anatolian rock, psychedelic rock",rock,turkish psych
eylül ergül,,,,,50p4a2dJJBy8Cu3XJPbWt8,Eylül Ergül,717.0,24.0,,,,
Halil Karaduman,"Birecik, Şanlıurfa, Turkey",,Şanlıurfa,solo,3x1GsOZOhBS4uYmoKLk3w2,Halil Karaduman,716.0,13.0,,,,
Türkü Turan,"Bodrum, Muğla, Turkey",,Muğla,solo,11LjHn7APc8CTgZ8fHy5ea,Türkü Turan,715.0,5.0,"indie electronic, turkish pop",,,
murat mermer,,,,,0ChnRZSPg0wgi0tOowrXbM,Murat Mermer,715.0,3.0,anatolian rock,anatolian rock,,
The Young Shaven,"İstanbul, İstanbul, Turkey",,İstanbul,grup,7pjGuRNmgGzow6GpqP5ta7,The Young Shaven,715.0,1.0,,,,
vaa,,,,,7fxw18LCoJYFhX5z1zWKzZ,Vaa,714.0,7.0,,"tamil pop, tamil dance, kollywood",,
mehru ensari,,,,,7pAorsq08x4TVNVYzIw9dZ,Mehru Ensari,713.0,24.0,,,,
ahmet şenyüz,,,,,5ZVCBPnrNgDIhaVrDPeJsp,Ahmet Senyüz,713.0,12.0,sufi,sufi,,
Taurwen,,"İstanbul, İstanbul, Turkey",İstanbul,solo,55ebzsq4e7yEUxOTQDDnYe,Taurwen,713.0,7.0,"dark ambient, neofolk",,,
emre günay,,,,,25xzu9Ch95wnUGFagBDjix,Emre Günay,713.0,21.0,,,,
mustafa özoruç,,,,,301X5R3r8uqUq0isT9GFlW,Mustafa Özoruç,712.0,9.0,"sufi, ghazal","sufi, ghazal",,
Erol Günaydın,"Akçaabat, Trabzon, Turkey",,Trabzon,solo,1JNayFpIilpgnVor3p1Nu4,Erol Günaydın,712.0,3.0,,,,
negentropy,,,,,6hwPX6NI2QbX6aQyd5iXdR,Negentropy,711.0,1.0,,,,turkish metal
barni barnas,,,,,7jpJQzO1KdYHNUGhEb0QRT,Barni Barnas,710.0,5.0,turkish hip hop,turkish hip hop,,
Earhead,,"İstanbul, İstanbul, Turkey",İstanbul,solo,6CyAfxxSkAxBrFO56WGpf7,EARHEAD,710.0,8.0,deathstep,,,
Erdener Koyutürk,"İstanbul, İstanbul, Turkey",,İstanbul,solo,4vgZZFQ3v7VcltyKSBbTWM,Erdener Koyutürk,709.0,15.0,tango,,,
Mert Avcı,,"İstanbul, İstanbul, Turkey",İstanbul,solo,6hIMkyTJbMLNZCh45FcScF,Mert Avcı,709.0,6.0,anatolian rock,,,
taner yücel,,,,,3p8N3OYk31E610kPtirnte,taner yücel,707.0,6.0,anatolian rock,anatolian rock,,
Sunfear,,"İstanbul, İstanbul, Turkey",İstanbul,solo,22oSPispQe2DSfrdAPU5vn,Sunfear,706.0,2.0,"drone, dark ambient","drone, dark ambient",,
Cenk Basaran,,"İzmir, İzmir, Turkey",İzmir,solo,0lGIMQTzJmsfx0smYhXHfV,Cenk Basaran,706.0,9.0,trance,,,
Ali Tekbaş,,"İstanbul, İstanbul, Turkey",İstanbul,solo,3wSkAP1KXTZufns68kbNQG,Ali Tekbaş,705.0,9.0,,,,
yabancılar,,,,,2FL1xSVgcqynIbuE9J6dB7,yabancılar,705.0,3.0,anatolian rock,,,
canan sezgin geylan,,,,,6O5InH4n6Fran71QnO67bV,Canan Sezgin Geylan,705.0,1.0,,,,
beynelmilan,,,,,6y0yY74fMudhuOzgCsc0y2,Beynelmilan,704.0,4.0,anatolian rock,anatolian rock,,
vokaliz,,,,,7BTQ711hkxQbxjqKsbD7Nj,Vokaliz,704.0,7.0,,,,
Dilan Akıncı,"İstanbul, İstanbul, Turkey",,İstanbul,solo,6xHVgrUDKXYTYRDY4iRVwA,Dilan Akıncı,703.0,3.0,,,,
yusuf taşkın,,,,,7j66GexVwzUJK5eYR0tWqB,Yusuf Taşkın,700.0,18.0,arabesk,arabesk,,
Ash Magick,"İstanbul, İstanbul, Turkey",,İstanbul,grup,7JWUvkWcXqq294LeJZeAlE,Ash Magick,698.0,1.0,black metal,,,
Halit Ergenç,"İstanbul, Turkey",,İstanbul,solo,7l92HR26b6YzJK2VaJalJc,Halit Ergenç,698.0,14.0,turkish pop,,,
Marcel Zanini,"Istanbul, Istanbul, Turkey",,İstanbul,solo,76NQcJf0PIWsOt5hQoBnaI,Marcel Zanini,696.0,7.0,french jazz,,,
Nedim Nalbantoğlu,"Kırklareli, Kırklareli, Turkey",,Kırklareli,solo,3apmoIMszYulqEElvqwq6j,Nedim Nalbantoglu,695.0,9.0,,,,
Gazin,"Tatvan, Bitlis, Turkey",,Bitlis,solo,3ZIeUI9kji9rWOoD8FcOqm,Gazin,694.0,3.0,,,,
eyyam,,,,,61IOEPhTyYFReNZ1AOxtCo,Eyyam,694.0,1.0,anatolian rock,anatolian rock,,
Anıl K.Y,,"Beşiktaş, İstanbul, Turkey",İstanbul,solo,01EvchybIvmkl7Xlc6I0B1,Anıl K.Y,693.0,5.0,turkish hip hop,,,
bol sözlük,,,,,6cbqsKLbEyJZ7LhiuIqe7z,Bol Sözlük,693.0,7.0,turkish hip hop,turkish hip hop,,turkish trap
Hakan Başar,"İstanbul, İstanbul, Turkey",,İstanbul,solo,2xDuyeAYiZPvieTosMSlUW,Hakan Başar,693.0,2.0,,,,
dogu dylan,,,,,3OEsgf01v1w57Fv9Wdrxog,Dogu Dylan,693.0,16.0,tech house,tech house,,turkish electronic
ismail basaran,,,,,6mIlG1xvS9eNs2jCPgUV7b,Ismail Basaran,692.0,15.0,slap house,slap house,,
can ergun,,,,,3u5XLjlrt6DZ9pEctzHAaF,Can Ergun,692.0,0.0,,,,turkish electronic
Kağan Yıldız,"İstanbul, İstanbul, Turkey",,İstanbul,solo,1kZLL8rJB3dqha4phT1YT1,Kağan Yıldız,692.0,18.0,free jazz,,,
grup çekirdek,,,,,1zbJpbjwjmFIw4J2XPy2Qr,Grup Çekirdek,692.0,2.0,anatolian rock,anatolian rock,,
oğuz sırmalı,,,,,1CoNLXR0wDXS7JexAPOtET,Oğuz Sırmalı,691.0,3.0,anatolian rock,anatolian rock,,
atilla yelken,,,,,3xbh2Avzz7tXJgRJwOsGfv,atilla yelken,691.0,0.0,anatolian rock,anatolian rock,,turkish psych
Sanem Kalfa,"Trabzon, Trabzon, Turkey",,Trabzon,solo,3554iG0XJT7tCCGeXwtjNQ,Sanem Kalfa,690.0,4.0,,,,
enfo,,,,,3i6m8cHwAQGgkAGR9R5q4k,Enfo,690.0,8.0,turkish hip hop,dub techno,,
TİLT,"Adana, Adana, Turkey",,Adana,grup,6Izo6Ha6yGiWtADfgBsvXz,TİLT,687.0,6.0,,,,
Hande Dalkiliç,"Ankara, Ankara, Turkey",,Ankara,solo,3aeD5I2n5f6CsoJnRGHSTL,Hande Dalkılıç,686.0,2.0,,,,
Hande Dalkılıç,"Ankara, Ankara, Turkey",,Ankara,solo,3aeD5I2n5f6CsoJnRGHSTL,Hande Dalkılıç,686.0,2.0,,,,
Ezgi Yelen,"İzmir, İzmir, Turkey",,İzmir,solo,5EpdmziOWYbygFxQ6V6NHT,Ezgi Yelen,685.0,3.0,turkish pop,,,
sadi hoşses,,,,,3USstxnOzChT2dIgF067N5,Sadi Hosses,684.0,0.0,arabesk,arabesk,,
Tayga,"Ankara, Ankara, Turkey",,Ankara,grup,2AitWF76fGhyMnS3PeQLuF,Tayga,683.0,0.0,,,,
baha boduroğlu,,,,,5mW103YUYbiRMIQXqXUNYf,baha boduroğlu,682.0,16.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",pop,
eda berker,,,,,25p1pWPGr79HYoGgSjiSNx,Eda Berker,678.0,16.0,turkish pop,turkish pop,,
Semra Türel,"Hassa, Hatay, Turkey",,Hatay,solo,1tOzYb1HG5OQmHCDPlOoyc,Semra Türel,677.0,1.0,arabesk,,,
ilgaz erel,,,,,3olhJmfDORQghEMQ8vozqg,Ilgaz Erel,675.0,0.0,turkish hip hop,turkish hip hop,,turkish hip hop
Bâki Kemancı,"Biga, Çanakkale, Turkey",,Çanakkale,solo,75g6XvfJmAJteWywUaZlj5,Baki Kemancı,675.0,14.0,sufi,sufi,klasik,
onur çobanoğlu,,,,,7dMpUosscKYSVrXTxvVGet,Onur Çobanoğlu,675.0,1.0,,,,turkish metal
cemal kaya,,,,,1x09Nu8JKqah84spwDtb3I,Cemal Kaya,675.0,18.0,arabesk,arabesk,,
Findike,"Langen, Niedersachsen, Germany","İstanbul, İstanbul, Turkey",İstanbul,solo,7GVl33JzZT3tIVtEjLb00r,Findike,674.0,9.0,"melodic house, progressive house, melodic techno",,,
reverie falls on all,,,,,0vZ33JzRRnT8N01l5MRMK3,reverie falls on all,673.0,0.0,"anatolian rock, electroacoustic, avant-garde, experimental","anatolian rock, electroacoustic, avant-garde, experimental",,turkish electronic
Lalezar Ensemble,"Istanbul, Istanbul, Turkey",,İstanbul,grup,3Ra5K8EW8UQ9iLQDANSi6r,Lalezar Ensemble,672.0,2.0,sufi,,,
Peygamber Vitesi,"Kadıköy, İstanbul, Turkey",,İstanbul,grup,5VxUI5cnnVQs3ZDblcwdPQ,Peygamber Vitesi,672.0,1.0,,,,
şenova ülker,,,,,2pb26fljy5UTl95GJUuAQx,Şenova Ülker,672.0,6.0,free jazz,free jazz,caz,
Mürüvvet Kekilli,"Adana, Adana, Turkey",,Adana,solo,71nRgmFZIT1jUPFvfXuUMg,Mürüvvet Kekilli,672.0,5.0,"anatolian rock, arabesk",,,
Arzu Arıkan,,"İstanbul, İstanbul, Turkey",İstanbul,solo,6zOhCa1xAJNPOheVaM7Uar,Arzu Arıkan,670.0,2.0,arabesk,,,
armağan elçi,,,,,3mHS0rxYDKsqUwrEN5LWGb,Armağan Elçi,669.0,10.0,,,halk,
Sıla Argun,,"Ankara, Ankara, Turkey",Ankara,solo,6mIlg9lvCkLijvjN1Gu4eL,sıla argun,669.0,5.0,,,,
Murat Kemaloğlu,"İzmir, Turkey",,İzmir,solo,5wnDLJxv6NiWlvyYaiWdcz,Murat Kemaloğlu,667.0,3.0,anatolian rock,,,
Engin Öztürk,"Eskişehir, Eskişehir, Turkey",,Eskişehir,solo,0BajNlPVc5zvx7EO5fSJtl,Engin Ozturk,667.0,3.0,,,,
canavar,,,,,6sTUE7pUQrStCR4RSppauf,CANAVAR,666.0,5.0,,"electroacoustic, musique concrète, glitch",,
zeynep erbay,,,,,584BtJGKoe10AgSJsKq8nX,Zeynep Erbay,665.0,7.0,indie dance,indie dance,,
Dogu Civicik,,"İstanbul, İstanbul, Turkey",İstanbul,solo,10sxqiasXeDIMeRwSdvCFV,Dogu Civicik,663.0,3.0,downtempo,,,
kaan arslan,,,,,5ML0ingV07lUL61gjbH7u2,Kaan Arslan,663.0,14.0,,,,
Sessiz G3,"Samsun, Samsun, Turkey",,Samsun,solo,1P8FXCZqLqnW4kVkZo1eUv,Sessiz G3,662.0,0.0,turkish hip hop,,,
tanzer gümüş,,,,,3WLFOUOKtVEdkp0PR2GeJO,Tanzer Gümüş,662.0,7.0,,,,
Humbaba,"Kadıköy, İstanbul, Turkey",,İstanbul,grup,7DzlzF8DepA5FDl2XvWGVA,Humbaba,661.0,1.0,"stoner metal, stoner rock, sludge metal, drone metal, doom metal",,,
tolga tabu,,,,,2t121NoYSUYCFXYgL9iIHP,Tolga Tabu,660.0,5.0,arabesk,arabesk,"ska, rap, pop",
tüzzün,,,,,7ve77oFIK818JCrq350coD,Tüzzün,660.0,9.0,turkish hip hop,turkish hip hop,,turkish trap
Balık Ayhan,"Beyoğlu, İstanbul, Turkey",,İstanbul,solo,368i1ryNnwm2tVt0RX3yKc,Balık Ayhan,659.0,5.0,oyun havasi,,,
eve dönüş yok,,,,,2tQmQVQ4gE2PdDTUvnfnsB,Eve Dönüş Yok,658.0,5.0,,,özgün,
rafi resh,,,,,7jWG6Ed4DhROphnD9UfO1g,Rafi Resh,658.0,13.0,turkish hip hop,turkish hip hop,,
çağla korkmaz,,,,,1fk6OJUNXObu3W20uoeVck,Çağla Korkmaz,657.0,0.0,turkish pop,turkish pop,,
Ercüment Batanay,"Istanbul, Istanbul, Turkey",,İstanbul,solo,2ulP0dLXkInbnl7C7tHfTl,Ercüment Batanay,657.0,3.0,,,,
Barış Murat Yağcı,"Alaçatı, İzmir, Turkey",,İzmir,solo,7uJiT0mfbEMPfMV9uC1fqG,Barış Murat Yağcı,657.0,0.0,,,,
Aslı,"İstanbul, İstanbul, Turkey",,İstanbul,solo,0c6PVCYwCrVOW87YxACtIX,aslı,654.0,28.0,turkish pop,,,
levvera,,,,,0wlUg2BKydLiZ0ilbzTTkY,Levvera,654.0,6.0,turkish hip hop,turkish hip hop,,
müge zeren,,,,,4iyJvftLfGbKpS2V2sbGbh,Müge Zeren,653.0,12.0,turkish pop,turkish pop,,deep turkish pop
zeki güner,,,,,1XdeuU2BL8e7R5FDAY6XB0,zeki güner,653.0,8.0,turkish pop,turkish pop,,
büşra pekin,,,,,5eEKBVHpzBT4Z6fCv5l8uZ,büşra pekin,652.0,14.0,"oyun havasi, arabesk","oyun havasi, arabesk",,
şevki bey,,,,,6dl1Qrzdrs0FEqruCUcN0x,Sevki Bey,652.0,4.0,,,,
aslı kökçe,,,,,6DHjcE5AKEA77wUMKBy59n,Aslı Kökçe,652.0,0.0,turkish pop,turkish pop,,
deden,,,,,1yXRD7JJWOuMsJQm3ocVxu,Deden,651.0,1.0,anatolian rock,,,
Heretic Soul,"Pendik, İstanbul, Turkey",,İstanbul,grup,6oFYUhoETXxKFvgZ8N4Fng,Heretic Soul,649.0,0.0,death metal,death metal,metal,turkish metal
meltem ege group,,,,,7gKitN6jk7otTct9eAmF60,Meltem Ege Group,647.0,4.0,,,caz,
Fahrettin Çimenli,"İstanbul, İstanbul, Turkey",,İstanbul,solo,3DDhwnkxv0RlyXChYcOIxO,Fahrettin Cimenli,647.0,2.0,,,,
Kübra Uzun,"İstanbul, İstanbul, Turkey",,İstanbul,solo,3TCmmcrUvFiiVv1ddRSPHr,Kübra Uzun,644.0,1.0,,,,
erkan kanat,,,,,1u6AoqR0fIK1LBQX35KAbL,Erkan Kanat,644.0,6.0,oyun havasi,oyun havasi,,
baturay yarkın,,,,,7wfcoMXV8wXQM7z3rIJJir,Baturay Yarkin,643.0,6.0,,,"caz, klasik",
le duc,,,,,7oBrTCiQMarr4ovOhkfGDF,Le Duc,642.0,1.0,,"brazilian rock, brazilian pop",,
bittermind,,,,,5bxq6Dsonq9ulol2og8TfT,Bittermind,641.0,10.0,"melodic techno, melodic house","melodic techno, melodic house",,
serçin,,,,,1yFdfPOXOHBwgvuNICcLsY,Serçin,640.0,0.0,turkish pop,turkish pop,,deep turkish pop
adem karabey,,,,,3wx5IGuk5H8DstZZPlU27R,Adem Karabey,637.0,1.0,,,,
Bezmârâ,"İstanbul, İstanbul, Turkey",,İstanbul,grup,0z5GCs8avenpmWzAPq8BJa,Bezmârâ,637.0,4.0,early music,,,
Dr. Zehir,"Ankara, Ankara, Turkey",,Ankara,solo,2xNwHuovZpXm2duBKU3Tet,Dr. Zehir,637.0,11.0,turkish hip hop,,,
Doğa Rutkay,"İstanbul, Turkey",,İstanbul,solo,1KJEYxuwjJ1XdIVp4bPCl5,Doğa Rutkay,636.0,3.0,turkish pop,,,
erman,,,,,7vyErujpiHSInQ2rQnfKAj,erman,636.0,34.0,turkish hip hop,german hip hop,,
Son Fersah,"İstanbul, İstanbul, Turkey",,İstanbul,grup,3NiK5uDZgyVCcsRYfZN6Jn,Son Fersah,635.0,8.0,,,,turkish metal
Tafoni,"Adana, Adana, Turkey",,Adana,solo,3a2i6JtfwRncwW8u9HBesW,Tafoni,634.0,7.0,turkish hip hop,,,
so duo,,,,,5VmdzQsPs7KZyLJB7TRatE,SO Duo,634.0,1.0,"laïko, anatolian rock","lullaby, children's music",,
osmancello,,"İzmir, İzmir, Turkey",İzmir,solo,7K5phCW3p2vrNTInGTmEmd,Osmancello,633.0,18.0,turkish hip hop,,,
Dama,"Samsun, Samsun, Turkey",,Samsun,solo,6L6vDQHhwbnZnWu5M6mlem,Dama,633.0,11.0,turkish hip hop,,,
furkan bilgi,,,,,75ZVO567D9Y84t6WmJ48Ja,Furkan Bilgi,632.0,5.0,,,,
Mehmet Akatay,,"İstanbul, İstanbul, Turkey",İstanbul,solo,4OTc6eUwoLwG43Q9CtYkuw,Mehmet Akatay,629.0,10.0,oyun havasi,oyun havasi,,
Saadet Türköz,"İstanbul, İstanbul, Turkey","Zürich, Zürich, Switzerland",İstanbul,solo,3xgsHW0S5h7wo0Drj6pnQd,Saadet Türköz,628.0,3.0,,,,
Gore Dimension,"İstanbul, İstanbul, Turkey",,İstanbul,grup,6MDMuQDcUXiPm3wVaiHyh3,Gore Dimension,628.0,0.0,"death metal, grindcore","death metal, grindcore","özgün, metal",
Sorg Uten Tårer,"Ankara, Ankara, Turkey","Jyväskylä, Keski-Suomi, Finland",Ankara,grup,4kwvCKvflfeM1MAhPhVI2Z,Sorg Uten Tårer,627.0,0.0,black metal,,,
Lifelock,"İstanbul, İstanbul, Turkey",,İstanbul,grup,5k08zDe1I9UoG6WSqTErFP,Lifelock,626.0,0.0,punk,,,
Jtamul,,"İstanbul, İstanbul, Turkey",İstanbul,solo,7l5AhyqvVmhqtEwbmL90Uq,Jtamul,625.0,3.0,"experimental, spoken word",,,
ozan karataş,,,,,59hpycidscJyyqL3yoFuuZ,Ozan Karataş,623.0,9.0,,,,
Hiçamahiç,,"İstanbul, İstanbul, Turkey",İstanbul,solo,3QBDU0ojVbqlV1smOFvDa8,Hiçamahiç,621.0,2.0,shoegaze,,,
cansun küçüktürk,,,,,2cOeGpH0MjwH3ibDFjgR4M,Cansun Küçüktürk,620.0,15.0,,,,
Oldu O Zaman,"İstanbul, İstanbul, Turkey",,İstanbul,grup,4p1BfGY4c2ljreAkQf8KDz,Oldu O Zaman,616.0,8.0,,,,
Jehra,,"İstanbul, İstanbul, Turkey",İstanbul,solo,2Q8HKTunJROXibsOGQlSJl,Jehra,616.0,9.0,"hard techno, acid techno",,,
saime sinan,,,,,7LCaDksqSse48LWizZM8jX,Saime Sinan,616.0,1.0,,,,
ali erel,,,,,3qtaNDitykRSPTzwwUcTVW,Ali Erel,612.0,5.0,,,,
